Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Cabinets(Cherryville):SC3042-Cherryville,SC3042-Cherryville,6.00 ,5.00 ,389.00 ,31.5,5.32,43.51,4.22,58.0
Cabinets(Cherryville):SCB36-Cherryville,SCB36-Cherryville***DOOR ON THE,7.00 ,55.00 ,399.00 ,33.08,5.71,37.6,4.11,70.4
Cabinets(Cherryville):SCB42-Cherryville,SCB42-Cherryville***DOOR ON THE,8.00 ,45.00 ,429.00 ,33.08,5.71,43.51,4.76,74.8
Cabinets(Cherryville):SCER33-Cherryville,SCER33-Cherryville,3.00-,75.00 ,659.00 ,33.08,10.04,36.03,6.93,88
Cabinets(Cherryville):SCER36-Cherryville,SCER36-Cherryville,31.00 ,195.00 ,719.00 ,36.23,10.04,36.42,7.67,95.5
Cabinets(Cherryville):SFC36-Cherryville,SFC36-Cherryville,6.00 ,70.00 ,269.00 ,37.6,2.96,37.8,2.43,34.1
Cabinets(Cherryville):SFC42-Cherryville,SFC42-Cherryville,7.00 ,5.00 ,359.00 ,43.51,2.96,43.71,3.25,44.0
Cabinets(Cherryville):SPTRINGEND-Cherryville,SPTRINGEND-Cherryville,15.00 ,0.00 ,79.00 ,0.63,0.56,1.11,0.03,44.0
Cabinets(Cherryville):TOE KICK-Cherryville,TOE KICK-Cherryville,79.00 ,850.00 ,39.00 ,0.6,0.3,9.75,0.1,40.9
Cabinets(Cherryville):TOUCHUPKIT-Cherryville,TOUCHUPKIT - Cherryville Touch up kit,59.00 ,0.00 ,58.00 ,2,0.012,5,2,0.5
Cabinets(Cherryville):TP3-Cherryville,TP3-Cherryville,7.00 ,20.00 ,209.00 ,4.14,35.63,4.34,0.37,88.0
Cabinets(Cherryville):U1584-Cherryville,U1584-Cherryville,9.00 ,10.00 ,769.00 ,25.2,5.71,85.63,7.13,97.7
Cabinets(Cherryville):U1590-Cherryville,U1590-Cherryville,5.00 ,10.00 ,849.00 ,25.2,5.71,91.54,7.62,103.8
Cabinets(Cherryville):U1596-Cherryville,U1596-Cherryville,1.00 ,20.00 ,919.00 ,25.2,5.71,97.45,8.12,110
Cabinets(Cherryville):U1884-Cherryville,U1884-Cherryville,17.00 ,27.00 ,819.00 ,25.2,5.71,85.63,7.13,123.2
Cabinets(Cherryville):U1890-Cherryville,U1890-Cherryville,9.00 ,37.00 ,879.00 ,25.2,5.71,91.54,7.62,116.6
