URL,Title,HTTP Status,Total Links,Page Authority,Number of Linking Root Domains,Facebook Shares,Facebook Likes,Twitter Shares,Google +1 Shares
http://www.finedesigns.com/event-apparel/by-state/north-carolina-nc/2014-bsc-friendlies.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/north-carolina-nc/2014-tfc-friendlies.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/oklahoma-ok.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/pennsylvania-pa.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/pennsylvania-pa/14th-annual-fc-delco-players-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/pennsylvania-pa/2014-eastern-synchronized-skating-sectional-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/pennsylvania-pa/brine-all-american-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/pennsylvania-pa/uscaa-basketball-national-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/south-carolina-sc.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/south-carolina-sc/2014-mcdonald-s-coast-winter-classic.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/tennessee-tn.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/texas-tx.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/texas-tx/2013-usatf-national-junior-olympic-cross-country-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/texas-tx/2014-dallas-lacrosse-springfest.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/utah-ut.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/31st-annual-kickers-columbus-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/annandale-premier-cup-1.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/annandale-premier-cup.html,"",No Data,1517,20,1,,,,
